"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
88053578,391834,SpellBook,2024-08-16,H.,,,,Marcha,,,29,,,Excali8ur,Rianne,,,29,,,Keukenprinses,Sabrina,,,30,1,1,,,,,,,,,,,,,,,,,,,,,,
88141482,263918,Cartographers,2024-08-18,H.,,,,"Anonymous player",,,103,1,,,Bart,,,111,,,,Jocelijn,,,119,1,1,Excali8ur,Rianne,,,93,,,,,,,,,,,,,,,,,
88336995,369142,"Savernake Forest",2024-08-24,D.,,,,"Anonymous player",,,37,,,Excali8ur,Rianne,,,44,1,1,Keukenprinses,Sabrina,,,32,1,,,,,,,,,,,,,,,,,,,,,,,
88338889,411543,"My Shelfie: The Dice Game",2024-08-24,D.,,,,"Anonymous player",,,96,,1,Excali8ur,Rianne,,,62,1,,Keukenprinses,Sabrina,,,94,1,,,,,,,,,,,,,,,,,,,,,,,
88361962,396989,Evenfall,2024-08-24,H.,,,,Bart,,,99,1,,Boelerino,Martijn,,,114,1,,Excali8ur,Rianne,,,91,,,Keukenprinses,Sabrina,,,125,,1,,,,,,,,,,,,,,,
88597922,367490,"Hickory Dickory",2024-08-31,H.,,,,Bart,,,65,,,Excali8ur,Rianne,,,82,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88844857,402676,Cities,2024-09-07,Home,,,,Bart,,,65,1,,,Martijn,,,51,1,,Excali8ur,Rianne,,,65,1,,,Sabrina,,,66,1,1,,,,,,,,,,,,,,,
88853097,367490,"Hickory Dickory",2024-09-07,H.,,,,Bart,,,65,,1,Boelerino,Martijn,,,64,1,,Excali8ur,Rianne,,,55,,,Keukenprinses,Sabrina,,,57,1,,,,,,,,,,,,,,,,
89125576,328866,"My Father's Work",2024-09-15,H.,,"Same ending: a legend will live on.

Volgende keer beter doen met de juiste experimenten maken voor de conferentie

Cost of the Disease",,Bart,,,101,,1,Excali8ur,Rianne,,,85,,,,Tom,,,54,1,,,,,,,,,,,,,,,,,,,,,,,
89468511,355093,Woodcraft,2024-09-27,H.,,"Half spel gespeeld",,Bart,,,41,1,1,,Marjolijn,,,26,1,,Excali8ur,Rianne,,,32,1,,,,,,,,,,,,,,,,,,,,,,,
